Title,Discreption,price,,,,
Land type:,Residential,Land size:,25.0 perches,"Rs 450,000 per perch",,
Address:,"Piliyandala, Bypass Road",Land type:,Residential,Land size:,7.3 perches,"Rs 775,000 per perch"
Address:,"Piliyandala, Mandawila Road",Land type:,Residential,Land size:,8.5 perches,"Rs 675,000 per perch"
Address:,Kahathuduwa,Land type:,"Commercial, Residential",Land size:,8.0 perches,"Rs 440,000 per perch"
Address:,Piliyandala,Land type:,"Commercial, Residential, Other",Land size:,42.3 perches,"Rs 700,000 per perch"
Address:,makandana piliyandala,Land type:,Residential,Land size:,8.0 perches,"Rs 600,000 per perch"
Address:,gangarama road piliyandala,Land type:,Residential,Land size:,7.0 perches,"Rs 710,000 per perch"
Address:,130 kotagedara junchion,Land type:,Residential,Land size:,15.0 perches,"Rs 7,800,000 total price"
Address:,piliyandala,Land type:,"Commercial, Residential, Other",Land size:,7.0 perches,"Rs 450,000 per perch"
Address:,Bolgoda,Land type:,"Commercial, Residential",Land size:,147.0 perches,"Rs 700,000 per perch"
Address:,"piliyandala, batakeththara",Land type:,"Commercial, Residential",Land size:,10.0 perches,"Rs 5,500,000 total price"
Address:,Piliyandala Dampe,Land type:,Residential,Land size:,20.0 perches,"Rs 1,000,000 per perch"
Address:,"Piliyandala, Dampe.",Land type:,Residential,Land size:,12.0 perches,"Rs 650,000 per perch"
Address:,"Madapatha road, Kolamunna, Piliyandala",Land type:,"Residential, Other",Land size:,10.0 perches,"Rs 750,000 per perch"
Address:,piliyandala suwarapola,Land type:,Commercial,Land size:,25.5 perches,"Rs 1,250,000 per perch"
Address:,"Piliyandala, Kesbewa, Kidelpitiya.",Land type:,Residential,Land size:,10.0 perches,"Rs 480,000 per perch"
Address:,Piliyandala Town,Land type:,Residential,Land size:,10.0 perches,"Rs 780,000 per perch"
Address:,"Piliyandala Town, Near Colombo Road",Land type:,"Commercial, Residential",Land size:,38.0 perches,"Rs 775,000 per perch"
Address:,"Piliyandala, Kahathuduwa",Land type:,"Agricultural, Residential",Land size:,8.5 perches,"Rs 975,000 total price"
Address:,"piliyandala, jaliyagoda, wijaya mawatha",Land type:,"Commercial, Residential",Land size:,10.5 perches,"Rs 10,500,000 total price"
Address:,"Kahathuduwa, Weniwelkola",Land type:,Residential,Land size:,18.5 perches,"Rs 250,000 per perch"
Address:,Piliyandala,Land type:,Residential,Land size:,18.0 perches,"Rs 600,000 per perch"
Land type:,Residential,Land size:,20.0 perches,"Rs 1,100,000 per perch",,
Land type:,Residential,Land size:,10.0 perches,"Rs 1,100,000 per perch",,
Address:,Piliyandala,Land type:,Residential,Land size:,15.0 perches,"Rs 1,100,000 per perch"
Address:,Near Hadigama Bus station,Land type:,"Residential, Other",Land size:,15.0 perches,"Rs 580,000 per perch"
Address:,"Piliyandala, Madapatha Road",Land type:,Residential,Land size:,6.5 perches,"Rs 525,000 per perch"
Address:,පිළියන්දල/කැස්බෑව,Land type:,Residential,Land size:,18.0 perches,"Rs 600,000 per perch"
Address:,"Piliyandala, Miriswatta, Facing Gonamaditta Road",Land type:,"Commercial, Residential",Land size:,38.0 perches,"Rs 775,000 per perch"
Address:,"Piliyandala, Suwarapola, Thotupola Road",Land type:,Residential,Land size:,20.0 perches,"Rs 550,000 per perch"
Address:,"Piliyandala, Suwarapola",Land type:,Residential,Land size:,15.0 perches,"Rs 740,000 per perch"
Address:,BATAKETHHTHARATA,Land type:,"Commercial, Residential",Land size:,18.0 perches,"Rs 1,300,000 per perch"
Address:,polgasowita,Land type:,Residential,Land size:,7.0 perches,"Rs 450,000 per perch"
Address:,"Piliyandala Town, Near Britol Company",Land type:,Residential,Land size:,6.0 perches,"Rs 825,000 per perch"
Address:,Piliyandala,Land type:,Residential,Land size:,15.0 perches,"Rs 1,100,000 per perch"
Address:,"Nalinpriya Mawatha,Kebewa",Land type:,Residential,Land size:,10.0 perches,"Rs 690,000 per perch"
Address:,පිළියන්දල,Land type:,Residential,Land size:,15.0 perches,"Rs 1,050,000 per perch"
Address:,Piliyandala,Land type:,Residential,Land size:,15.0 perches,"Rs 1,100,000 per perch"
Address:,Piliyandala,Land type:,Residential,Land size:,18.0 perches,"Rs 600,000 per perch"
Address:,gonamaditta road,Land type:,Residential,Land size:,8.2 perches,"Rs 740,000 per perch"
Address:,"Piliyandala, Gonamadiththa",Land type:,"Commercial, Residential",Land size:,10.0 perches,"Rs 6,500,000 total price"
Address:,පිලියන්දලින්,Land type:,"Commercial, Residential",Land size:,13.8 perches,"Rs 9,660,000 total price"
Address:,"පිලියන්දල, කැස්බෑව, ලිබර්ටි පාක්,",Land type:,"Agricultural, Commercial",Land size:,11.86 perches,"Rs 13,000,000 total price"
Address:,"Piliyandala, niwanthidiya",Land type:,"Commercial, Residential",Land size:,7.0 perches,"Rs 5,500,000 total price"
Address:,"Mihira Mawatha, Makuluduwa",Land type:,"Commercial, Residential",Land size:,35.0 perches,"Rs 675,000 per perch"
Address:,"Kesbewa, Piliyandala",Land type:,Residential,Land size:,6.9 perches,"Rs 750,000 per perch"
Address:,"බණ්ඩාරගම පාර, බටුවන්දර",Land type:,"Commercial, Residential",Land size:,9.4 perches,"Rs 960,000 per perch"
Address:,Polgasovita,Land type:,Residential,Land size:,8.0 perches,"Rs 440,000 per perch"
Address:,"Piliyandala,Makandana",Land type:,Residential,Land size:,14.0 perches,"Rs 400,000 per perch"
Land type:,Residential,Land size:,20.0 perches,"Rs 1,100,000 per perch",,
Land type:,Residential,Land size:,10.0 perches,"Rs 1,100,000 per perch",,
Address:,Piliyandala,Land type:,Residential,Land size:,18.0 perches,"Rs 600,000 per perch"
Address:,Piliyandala,Land type:,Residential,Land size:,15.0 perches,"Rs 1,100,000 per perch"
Address:,"Piliyandala Town, Puwakgashandiya, Near Colombo Road",Land type:,Residential,Land size:,6.0 perches,"Rs 825,000 per perch"
Address:,Bokundara,Land type:,"Commercial, Residential",Land size:,18.0 perches,"Rs 850,000 per perch"
Address:,"Piliyandala, Near Bypass Road",Land type:,Residential,Land size:,7.33 perches,"Rs 775,000 per perch"
Address:,"Piliyandala, Miriswstta, Siko Garden",Land type:,Residential,Land size:,8.52 perches,"Rs 675,000 per perch"
Address:,"Piliyandala Town, Kolamunna",Land type:,Residential,Land size:,6.0 perches,"Rs 825,000 per perch"
Address:,piliyandala,Land type:,"Commercial, Residential",Land size:,25.0 perches,"Rs 1,500,000 per perch"
Address:,piliyandala kahathuduwa,Land type:,Residential,Land size:,160.0 perches,"Rs 250,000 per perch"
Address:,piliyandala kottawa rd facing,Land type:,"Commercial, Residential",Land size:,24.0 perches,"Rs 28,000,000 total price"
Address:,"Piliyandala Town, Mawittara",Land type:,Residential,Land size:,7.3 perches,"Rs 775,000 per perch"
Address:,255  jayanthi road piliyandala town,Land type:,Residential,Land size:,14.0 perches,"Rs 1,050,000 per perch"
Address:,130 kotagedara junchion,Land type:,Residential,Land size:,6.0 perches,"Rs 3,200,000 total price"
Address:,Piliyandala Kesbewa Kidelpitiya,Land type:,Residential,Land size:,10.0 perches,"Rs 480,000 per perch"
Address:,"පිළියන්දල, කැස්බෑව, වැල්මිල්ල.",Land type:,Residential,Land size:,14.0 perches,"Rs 215,000 per perch"
Address:,"Piliyandala, Mandawila Road",Land type:,Residential,Land size:,8.5 perches,"Rs 675,000 per perch"
Address:,"Piliyandala, Near Miriswatta Junction",Land type:,"Commercial, Residential",Land size:,38.0 perches,"Rs 775,000 per perch"
Address:,"Piliyandala, Batakettara",Land type:,Residential,Land size:,6.52 perches,"Rs 525,000 per perch"
Address:,"Suwarapola, Dampe",Land type:,Residential,Land size:,9.0 perches,"Rs 325,000 per perch"
Address:,"Piliyandala, Bolgoda.",Land type:,Residential,Land size:,12.0 perches,"Rs 650,000 per perch"
Address:,"Polhena Juction, Madapatha, Piliyandala",Land type:,Other,Land size:,73.0 perches,"Rs 650,000 per perch"
Address:,Kahathuduwa,Land type:,Residential,Land size:,6.0 perches,"Rs 400,000 per perch"
Address:,Kahathuduwa,Land type:,Residential,Land size:,6.0 perches,"Rs 400,000 per perch"
Address:,"Gonapala , Kumbuka",Land type:,Residential,Land size:,10.0 perches,"Rs 200,000 per perch"
Address:,Kahathuduwa,Land type:,Residential,Land size:,7.0 perches,"Rs 635,000 per perch"
Land type:,Residential,Land size:,20.0 perches,"Rs 1,100,000 per perch",,
Land type:,Residential,Land size:,10.0 perches,"Rs 1,100,000 per perch",,
Address:,Kahathuduwa,Land type:,Residential,Land size:,7.0 perches,"Rs 635,000 per perch"
Address:,Piliyandala / Kesbewa,Land type:,Residential,Land size:,18.0 perches,"Rs 600,000 per perch"
Address:,Piliyandala,Land type:,Residential,Land size:,15.0 perches,"Rs 1,100,000 per perch"
Address:,piliyandala,Land type:,"Commercial, Residential, Other",Land size:,7.0 perches,"Rs 2,800,000 total price"
Address:,POLGASOVITA JUNCTION PILIYANDALA,Land type:,Residential,Land size:,11.0 perches,"Rs 1,800,000 per perch"
Address:,Suwarapola / 255 road,Land type:,Residential,Land size:,15.0 perches,"Rs 1,100,000 per perch"
Address:,mandavila road piliyandala town,Land type:,Residential,Land size:,10.2 perches,"Rs 8,800,000 total price"
Address:,"Piliyandala, Kotagedara",Land type:,"Commercial, Residential",Land size:,17.5 perches,"Rs 10,200,000 total price"
Address:,Piliyandala / Kesbewa,Land type:,Residential,Land size:,18.0 perches,"Rs 600,000 per perch"
Address:,kumbuka / wanamee kanda road,Land type:,Residential,Land size:,10.2 perches,"Rs 250,000 per perch"
Address:,Piliyandala Town,Land type:,Residential,Land size:,10.0 perches,"Rs 780,000 per perch"
Address:,"Piliyandala, Miriswatta, Mandawila Road",Land type:,Residential,Land size:,8.51 perches,"Rs 675,000 per perch"
Address:,"Piliyandala, Dampe, Bolgoda",Land type:,Residential,Land size:,12.0 perches,"Rs 650,000 per perch"
Address:,"Piliyandala, Kotagedara",Land type:,Residential,Land size:,6.5 perches,"Rs 525,000 per perch"
Address:,Near Gonapola Junction,Land type:,"Agricultural, Other",Land size:,70.0 perches,"Rs 31,500 per perch"
Address:,Gonapola Junction,Land type:,Residential,Land size:,3.8 perches,"Rs 1,100,000 total price"
Address:,Kahathuduwa town,Land type:,Residential,Land size:,8.0 perches,"Rs 425,000 per perch"
Address:,"Very Close To Piliyandala Town, Miriswatta",Land type:,"Commercial, Residential",Land size:,38.22 perches,"Rs 775,000 per perch"
Address:,Miriswattha - Piliyandala junction,Land type:,Residential,Land size:,25.0 perches,"Rs 33,750,000 total price"
Address:,Batakettara - Gadabuwana road,Land type:,"Residential, Other",Land size:,10.1 perches,"Rs 775,000 per perch"
Land type:,Residential,Land size:,7.0 perches,"Rs 665,000 per perch",,
Address:,piliyandala,Land type:,"Commercial, Residential, Other",Land size:,10.0 perches,"Rs 185,000 per perch"
Address:,piliyandala,Land type:,"Commercial, Residential, Other",Land size:,6.0 perches,"Rs 400,000 per perch"
Address:,"3rd Lane,Niwanthidiya",Land type:,Residential,Land size:,10.0 perches,"Rs 1,000,000 per perch"
Address:,"Piliyandala, Miriswatta, Mandawila Road",Land type:,Residential,Land size:,8.5 perches,"Rs 675,000 per perch"
Land type:,Residential,Land size:,20.0 perches,"Rs 1,100,000 per perch",,
Land type:,Residential,Land size:,10.0 perches,"Rs 1,100,000 per perch",,
Address:,"Piliyandala, Miriswatta Junction",Land type:,Residential,Land size:,10.0 perches,"Rs 780,000 per perch"
Address:,Kahathuduwa,Land type:,Residential,Land size:,6.0 perches,"Rs 400,000 per perch"
Address:,"Gonapola, Near Junction",Land type:,Residential,Land size:,3.81 perches,"Rs 1,100,000 total price"
Address:,"Gonapola, Near Olaboduwa Road",Land type:,"Agricultural, Other",Land size:,70.0 perches,"Rs 31,500 per perch"
Address:,"Gonapola, Near Junction",Land type:,Residential,Land size:,8.32 perches,"Rs 2,300,000 total price"
Address:,"Piliyandala, Madapatha Road",Land type:,Residential,Land size:,6.5 perches,"Rs 525,000 per perch"
Address:,Polgasowita,Land type:,Residential,Land size:,8.0 perches,"Rs 395,000 per perch"
Address:,Polgasowita,Land type:,Residential,Land size:,6.0 perches,"Rs 2,370,000 total price"
Land type:,Residential,Land size:,6.5 perches,"Rs 650,000 per perch",,
Address:,"Diyakada Rd, Weniwelkola, Diyakada, Sambhoodhi Mawata",Land type:,Residential,Land size:,24.4 perches,"Rs 300,000 per perch"
Address:,120 kotagedara junchion,Land type:,Residential,Land size:,15.0 perches,"Rs 7,700,000 total price"
Address:,"Galwathkada Amuna Road, Heraliyawala",Land type:,Residential,Land size:,6.0 perches,"Rs 475,000 per perch"
Address:,255 suwarapola jayanthi road,Land type:,"Commercial, Residential",Land size:,21.0 perches,"Rs 1,050,000 per perch"
Address:,"boralesgamuwa, neelammahara road, isuru uyana",Land type:,"Commercial, Residential",Land size:,10.0 perches,"Rs 8,000,000 total price"
Address:,255 Kottawa Road,Land type:,Residential,Land size:,8.0 perches,"Rs 6,200,000 total price"
Address:,130 gonamaditta road,Land type:,"Commercial, Residential",Land size:,38.0 perches,"Rs 800,000 per perch"
Address:,gangarama road piliyandala,Land type:,Residential,Land size:,6.0 perches,"Rs 715,000 per perch"
Address:,miriswattha Junction - Piliyandala,Land type:,Residential,Land size:,18.0 perches,"Rs 18,000,000 total price"
Address:,Piliyandala / Kesbewa,Land type:,Residential,Land size:,18.0 perches,"Rs 600,000 per perch"
Address:,130 kotagedara junchion,Land type:,Residential,Land size:,15.0 perches,"Rs 575,000 per perch"
Address:,diyakada,Land type:,"Commercial, Residential",Land size:,10.0 perches,"Rs 180,000 per perch"
Address:,diyakada,Land type:,"Commercial, Residential",Land size:,10.0 perches,"Rs 180,000 per perch"
Address:,130 kahapola bolgoda lake,Land type:,Residential,Land size:,80.0 perches,"Rs 850,000 per perch"
Address:,Piliyandala,Land type:,Residential,Land size:,15.0 perches,"Rs 1,100,000 per perch"
Address:,Piliyandala / Kesbewa,Land type:,Residential,Land size:,18.0 perches,"Rs 600,000 per perch"
Land type:,Residential,Land size:,10.0 perches,"Rs 1,100,000 per perch",,
Land type:,Residential,Land size:,20.0 perches,"Rs 1,100,000 per perch",,
Address:,Bolgoda,Land type:,"Commercial, Residential",Land size:,147.0 perches,"Rs 700,000 per perch"
Address:,Piliyandala Kesbewa,Land type:,Residential,Land size:,18.0 perches,"Rs 600,000 per perch"
Address:,Piliyandala,Land type:,Residential,Land size:,15.0 perches,"Rs 1,100,000 per perch"
Address:,"Dampe, Piliyandala",Land type:,"Commercial, Residential, Other",Land size:,500.0 perches,"Rs 505,000,000 total price"
Address:,"Piliyandala, Gonapola",Land type:,Residential,Land size:,3.8 perches,"Rs 1,100,000 total price"
Address:,"Piliyandala, Madapatha Rd, Kotagedara",Land type:,Residential,Land size:,6.5 perches,"Rs 3,400,000 total price"
Address:,"Piliyandala Town, Kolamunna",Land type:,Residential,Land size:,6.0 perches,"Rs 825,000 per perch"
Address:,"Piliyandala, Colombo Road",Land type:,"Commercial, Residential",Land size:,38.33 perches,"Rs 775,000 per perch"
Address:,Piliyandala Town,Land type:,Residential,Land size:,6.0 perches,"Rs 825,000 per perch"
Address:,"Piliyandala, Kotagedara ( Madapatha Road )",Land type:,Residential,Land size:,6.5 perches,"Rs 525,000 per perch"
Address:,Piliyandala,Land type:,Residential,Land size:,18.0 perches,"Rs 600,000 per perch"
Address:,Piliyandala,Land type:,Residential,Land size:,15.0 perches,"Rs 1,100,000 per perch"
Address:,piliyandala,Land type:,"Commercial, Residential, Other",Land size:,10.0 perches,"Rs 190,000 per perch"
Address:,Piliyandala Dampe near bolgoda lake,Land type:,Residential,Land size:,12.0 perches,"Rs 650,000 per perch"
Address:,gonamadiththa road,Land type:,Residential,Land size:,10.0 perches,"Rs 700,000 per perch"
Address:,madapatha road,Land type:,Residential,Land size:,13.8 perches,"Rs 700,000 per perch"
Address:,"Piliyandala, Bypass Road (800M away to Piliyandala town).",Land type:,"Commercial, Residential",Land size:,11.0 perches,"Rs 1,300,000 per perch"
Address:,"Piliyandala, Dampe",Land type:,Residential,Land size:,10.0 perches,"Rs 400,000 per perch"
Address:,"Piliyandala, Dampe",Land type:,Residential,Land size:,20.0 perches,"Rs 1,000,000 per perch"
Address:,"Suwarapola, Dampe.",Land type:,Residential,Land size:,47.31 perches,"Rs 1,060,000 per perch"
Address:,Gonapola Junction,Land type:,Residential,Land size:,8.32 perches,"Rs 2,300,000 total price"
Address:,"Piliyandala Town, Miriswatta Junction",Land type:,"Commercial, Residential",Land size:,38.0 perches,"Rs 775,000 per perch"
Address:,kahathuduwa,Land type:,Residential,Land size:,6.0 perches,"Rs 395,000 per perch"
Address:,Piliyandala Town,Land type:,Residential,Land size:,6.0 perches,"Rs 825,000 per perch"
Address:,"Batakettara, Piliyandala",Land type:,"Commercial, Residential",Land size:,42.0 perches,"Rs 695,000 per perch"
Land type:,Residential,Land size:,20.0 perches,"Rs 1,100,000 per perch",,
Land type:,Residential,Land size:,10.0 perches,"Rs 1,100,000 per perch",,
Address:,Piliyandala,Land type:,Residential,Land size:,15.0 perches,"Rs 1,100,000 per perch"
Address:,Piliyandala,Land type:,Residential,Land size:,18.0 perches,"Rs 600,000 per perch"
Address:,piliyandala 255 rd facing,Land type:,"Commercial, Residential",Land size:,25.5 perches,"Rs 1,250,000 per perch"
Address:,piliyandala town,Land type:,Residential,Land size:,21.35 perches,"Rs 1,300,000 per perch"
Address:,"Piliyandala, Near Town",Land type:,"Commercial, Residential",Land size:,38.0 perches,"Rs 775,000 per perch"
Address:,"Gonapola, Near Junction",Land type:,Residential,Land size:,8.3 perches,"Rs 2,300,000 total price"
Address:,"Gonapola, Near Junction",Land type:,Residential,Land size:,4.5 perches,"Rs 1,600,000 total price"
Address:,"Gonapola, Near Junction",Land type:,Residential,Land size:,3.8 perches,"Rs 1,100,000 total price"
Address:,Piliyandala Madapatha Road,Land type:,Residential,Land size:,17.0 perches,"Rs 1,200,000 per perch"
Address:,piliyandala,Land type:,"Commercial, Residential, Other",Land size:,7.0 perches,"Rs 410,000 per perch"
Address:,"Weda Mw, Bokunara, Piliyandala",Land type:,Residential,Land size:,12.0 perches,"Rs 1,200,000 per perch"
